beach_name,water_temperature,air_temperature,turbidity,wave_height,rainfall,ph,dissolved_oxygen,conductivity,bacteria_count,water_quality_status
Silver Shore,18.33,20.96,0.96,0.24,14.67,7.75,8.21,41466.11,66.84,Safe
Blue Bay,16.96,20.24,3.57,1.06,4.11,7.31,8.67,48413.95,99.41,Safe
Palm Coast,17.9,17.51,1.87,1.0,12.85,7.81,8.42,39130.41,136.28,Safe
Palm Coast,29.05,39.29,1.85,0.33,11.84,7.51,7.35,47806.76,114.04,Safe
Blue Bay,21.79,29.34,1.03,0.78,7.01,8.01,6.36,46790.96,58.51,Safe
Blue Bay,34.23,39.04,3.99,0.71,1.21,8.08,7.1,40056.91,129.64,Safe
Coral Point,21.74,24.96,7.48,0.3,0.28,7.39,7.75,51027.2,111.69,Moderate Risk
Coral Point,24.74,27.1,4.23,0.82,2.45,7.63,8.29,39688.95,122.22,Safe
Palm Coast,30.17,30.31,0.97,1.41,3.35,7.66,7.6,51812.05,134.03,Safe
Silver Shore,32.02,35.26,3.23,1.09,4.11,7.82,6.74,44821.83,136.76,Moderate Risk
Palm Coast,32.25,36.02,4.76,0.12,8.98,7.61,7.87,41896.87,149.65,Moderate Risk
Silver Shore,28.83,28.11,3.07,0.73,2.33,7.67,8.23,36229.29,90.33,Safe
Silver Shore,28.1,32.1,4.18,0.96,9.18,7.51,7.66,41426.31,148.99,Moderate Risk
Coral Point,26.37,28.9,1.99,0.28,19.12,7.64,6.2,40675.56,130.47,Safe
North Beach,27.11,24.39,2.81,1.06,4.47,8.05,6.98,33821.07,52.28,Safe
North Beach,21.8,22.21,2.69,0.25,6.4,7.83,8.34,40585.5,96.08,Safe
Blue Bay,20.73,22.49,8.35,0.4,18.22,7.85,5.54,36775.28,188.18,Moderate Risk
Coral Point,23.99,32.65,1.44,0.26,10.21,7.85,4.69,45808.95,107.83,Safe
Silver Shore,23.32,27.99,0.4,0.22,2.42,7.55,9.01,50490.82,46.37,Safe
North Beach,22.19,21.18,8.02,0.67,20.3,7.71,7.81,34025.05,161.54,Moderate Risk
Silver Shore,26.79,31.24,3.65,0.13,6.26,7.22,7.93,53130.0,114.49,Safe
North Beach,27.82,26.18,1.19,0.42,2.75,8.04,5.91,41164.42,16.59,Safe
North Beach,24.35,30.6,6.05,0.67,0.6,6.63,8.09,35662.36,154.54,Moderate Risk
North Beach,29.91,31.5,4.95,0.27,2.37,7.57,7.53,46925.41,84.28,Safe
Coral Point,19.43,22.15,9.2,1.19,6.02,8.0,5.3,39098.05,168.33,Moderate Risk
Palm Coast,23.23,30.2,3.86,0.44,1.67,7.12,8.91,41468.71,102.92,Safe
Silver Shore,21.13,20.27,13.34,1.57,2.01,7.74,7.39,39372.19,210.82,Unsafe
Coral Point,16.53,15.34,3.09,0.11,15.25,7.36,6.72,36691.2,67.37,Safe
Coral Point,23.67,24.92,4.96,0.69,6.36,7.47,6.75,46705.98,142.44,Moderate Risk
Coral Point,23.51,29.63,5.43,0.59,0.77,7.93,4.78,40139.04,107.69,Moderate Risk
Coral Point,30.05,28.5,18.3,0.36,9.53,7.67,7.91,32661.76,216.38,Unsafe
Coral Point,26.52,21.03,2.42,0.51,0.28,6.89,7.51,45581.89,40.76,Safe
Blue Bay,19.9,21.55,2.36,0.77,6.02,7.26,6.97,34163.71,78.84,Safe
Silver Shore,31.42,36.07,5.5,0.88,5.34,7.94,8.73,34503.81,73.02,Safe
Coral Point,28.88,35.48,1.1,0.46,27.89,7.76,5.54,49751.94,208.22,Moderate Risk
Silver Shore,26.33,27.94,1.86,0.69,12.39,8.21,6.48,34223.79,158.37,Moderate Risk
Blue Bay,23.09,24.86,3.02,0.24,5.07,8.19,6.18,26943.11,99.58,Safe
Blue Bay,20.16,26.62,9.02,0.89,10.86,7.48,6.87,46048.6,161.3,Moderate Risk
Silver Shore,22.51,19.9,5.51,1.36,0.33,8.48,7.28,40024.89,103.24,Moderate Risk
North Beach,28.35,30.19,3.55,0.94,5.28,7.61,7.72,40585.24,128.36,Safe
Palm Coast,31.54,35.11,2.25,0.26,2.62,7.26,6.78,39955.75,130.45,Safe
North Beach,30.17,34.52,11.3,0.21,5.88,7.38,6.15,43505.85,140.44,Moderate Risk
North Beach,22.04,23.52,3.22,2.26,0.26,6.81,9.22,37107.32,66.34,Safe
North Beach,19.52,22.62,1.86,1.3,9.31,8.16,10.09,51594.75,160.86,Safe
Coral Point,24.56,20.1,12.65,0.88,7.89,8.16,7.37,32404.5,128.93,Unsafe
Blue Bay,16.93,17.95,1.15,1.42,12.72,7.24,6.29,44891.69,78.86,Safe
North Beach,25.29,29.65,7.63,0.5,3.33,7.52,8.97,46173.79,115.36,Moderate Risk
Blue Bay,23.41,23.46,3.4,0.87,9.61,7.63,5.46,37062.26,59.24,Safe
Silver Shore,22.14,25.31,5.5,1.18,21.64,7.26,6.8,35345.73,218.28,Moderate Risk
Palm Coast,17.62,21.96,4.87,0.4,3.89,6.99,6.36,48611.63,129.22,Moderate Risk
Silver Shore,26.05,28.03,5.45,0.73,0.96,7.53,5.81,35559.41,80.23,Safe
Silver Shore,21.87,25.38,13.36,1.09,9.12,7.49,6.86,38056.68,250.67,Unsafe
Coral Point,19.32,19.43,12.11,0.19,3.55,7.46,6.16,47767.51,210.19,Unsafe
Palm Coast,12.51,14.89,1.94,0.37,1.57,7.68,7.22,42225.82,60.4,Safe
Silver Shore,23.89,28.72,4.74,1.08,1.99,8.1,7.23,30318.57,88.03,Safe
Silver Shore,31.09,34.56,0.68,0.6,0.77,7.49,6.45,53355.88,133.61,Safe
Palm Coast,30.65,31.89,5.84,0.54,1.57,7.66,6.76,38554.93,127.81,Moderate Risk
Palm Coast,22.17,25.84,6.74,0.49,7.38,7.85,6.92,39382.08,138.56,Moderate Risk
Silver Shore,21.59,26.73,0.4,1.16,7.63,7.79,8.17,43662.6,133.1,Safe
Palm Coast,25.88,22.73,3.31,0.21,2.23,7.38,7.02,46063.0,86.74,Safe
Silver Shore,20.01,26.48,5.49,0.35,5.77,7.63,8.19,54747.18,92.56,Safe
Silver Shore,25.21,27.2,4.3,0.13,6.97,7.79,7.9,31209.56,102.53,Safe
Coral Point,27.06,31.34,1.17,0.39,8.35,7.21,7.89,47368.69,117.27,Safe
North Beach,28.91,35.5,1.29,0.58,2.39,8.04,8.87,46829.56,1.0,Safe
Silver Shore,23.6,22.48,3.03,0.06,11.36,8.1,5.86,41108.43,91.94,Safe
Blue Bay,23.19,24.06,2.42,0.24,0.62,7.35,6.63,47117.28,111.72,Safe
North Beach,20.49,22.62,2.6,0.6,1.35,7.67,9.32,48072.78,55.87,Safe
North Beach,20.69,21.34,1.02,0.72,2.42,7.82,6.89,33017.24,119.45,Safe
North Beach,23.09,31.3,3.44,1.64,6.4,7.41,3.82,53373.48,166.82,Moderate Risk
Coral Point,25.47,25.9,9.07,0.8,1.06,7.77,6.96,31868.05,132.3,Moderate Risk
Silver Shore,27.65,28.99,1.21,0.44,1.21,7.66,7.36,34620.44,38.08,Safe
Coral Point,20.79,24.4,2.85,0.56,16.63,7.09,4.06,40298.38,117.29,Moderate Risk
Silver Shore,29.97,29.36,5.09,0.58,14.97,7.76,8.8,54512.11,235.45,Moderate Risk
Coral Point,22.92,24.73,0.8,0.35,1.0,7.21,6.34,39996.33,117.46,Safe
Coral Point,23.91,27.87,3.46,0.62,2.16,7.93,7.59,41792.43,89.03,Safe
Blue Bay,21.01,23.01,6.61,0.33,4.94,7.37,6.93,51308.51,95.97,Moderate Risk
Coral Point,14.3,17.02,1.46,0.64,8.79,7.54,5.65,40047.93,93.71,Safe
Palm Coast,27.54,28.95,3.71,0.49,3.27,8.08,5.92,34340.16,96.79,Safe
Blue Bay,26.95,25.4,6.3,0.43,2.85,7.77,6.08,39287.97,65.57,Safe
Coral Point,22.87,26.84,12.93,0.44,13.53,7.22,8.5,50910.15,208.04,Unsafe
North Beach,24.27,32.53,3.57,0.9,2.4,7.24,7.02,42460.62,137.77,Safe
Palm Coast,26.06,29.12,1.89,0.84,3.86,7.39,6.57,54549.28,17.24,Safe
Palm Coast,17.75,21.43,0.58,0.41,8.07,7.74,6.08,46796.58,103.87,Safe
Palm Coast,21.88,26.96,1.91,0.87,8.37,7.73,8.64,37808.74,144.45,Safe
Blue Bay,27.18,26.37,0.97,0.48,7.64,7.3,8.96,42332.0,58.71,Safe
Coral Point,18.98,27.09,9.53,0.49,7.24,7.19,8.62,36454.08,213.5,Moderate Risk
Coral Point,25.17,28.78,6.06,0.35,6.43,7.7,7.79,37655.19,93.43,Safe
North Beach,18.57,26.47,1.29,1.53,4.12,7.54,7.55,60000.0,103.52,Safe
North Beach,25.87,26.67,1.8,1.42,11.34,8.36,5.74,48621.06,104.59,Safe
Palm Coast,23.86,32.31,3.53,0.28,8.75,7.61,6.91,47597.14,90.88,Safe
North Beach,17.54,22.86,6.58,0.39,2.77,8.23,6.38,37949.33,88.97,Moderate Risk
Blue Bay,28.66,33.32,4.75,0.68,3.95,7.19,5.01,52202.3,127.91,Moderate Risk
Coral Point,21.06,24.76,4.44,0.78,1.19,7.05,8.47,49146.2,122.76,Safe
Palm Coast,20.76,23.01,3.88,0.2,3.2,7.21,6.37,54230.54,82.06,Safe
North Beach,24.8,31.4,1.35,0.23,1.41,8.02,8.64,53915.24,8.49,Safe
Blue Bay,28.59,32.02,3.56,0.78,11.6,8.21,8.26,32385.92,134.68,Moderate Risk
Blue Bay,19.94,17.04,3.26,0.12,31.23,7.33,7.87,34786.04,187.41,Moderate Risk
North Beach,24.25,23.9,0.95,0.29,1.26,7.44,7.94,35475.38,45.45,Safe
Coral Point,25.72,28.16,9.38,0.97,4.38,7.19,6.46,35864.39,217.17,Unsafe
North Beach,26.77,30.7,2.11,0.94,3.7,6.97,9.43,44102.44,28.73,Safe
Palm Coast,24.71,27.54,0.98,1.47,0.2,7.85,7.25,38315.78,1.0,Safe
North Beach,22.53,29.19,2.4,1.82,2.52,7.68,7.56,55471.89,72.25,Safe
Blue Bay,20.69,17.84,2.77,2.88,20.99,7.6,6.42,54380.42,207.98,Unsafe
North Beach,24.34,27.78,3.19,0.38,6.01,7.11,6.08,41958.0,53.99,Safe
Coral Point,19.71,17.26,2.73,0.3,4.45,8.17,7.77,54709.62,45.84,Safe
Silver Shore,12.31,17.59,3.33,0.7,1.44,7.42,7.46,51672.88,115.73,Safe
North Beach,25.75,28.46,3.74,0.13,10.32,7.79,6.25,39070.41,122.35,Safe
Coral Point,27.62,31.87,3.61,0.42,3.06,7.09,5.47,28940.1,98.6,Safe
Coral Point,14.55,14.96,4.42,0.58,2.35,7.53,5.68,40583.21,120.48,Safe
Blue Bay,19.96,26.8,4.6,0.74,9.47,7.7,8.64,37809.96,107.1,Safe
Coral Point,26.48,32.6,4.68,0.8,4.41,7.71,6.46,43342.29,93.34,Safe
Coral Point,32.23,36.98,5.49,0.41,1.73,7.65,6.79,42579.98,125.97,Moderate Risk
Coral Point,24.08,26.69,1.93,0.16,10.14,7.77,8.94,42409.61,42.56,Safe
Coral Point,21.09,25.83,1.99,0.19,5.81,7.2,5.85,45403.95,1.12,Safe
Palm Coast,23.27,24.15,6.6,0.05,10.24,7.67,6.33,34118.61,114.98,Moderate Risk
Palm Coast,29.5,35.07,2.45,0.31,4.64,7.64,6.28,44673.84,111.09,Safe
Blue Bay,21.42,29.36,3.06,0.13,33.03,7.68,9.14,39142.5,186.15,Moderate Risk
North Beach,20.8,27.02,2.87,0.33,30.28,7.63,9.59,43299.88,199.76,Moderate Risk
Coral Point,22.07,22.88,12.64,0.7,2.78,7.15,8.1,48223.16,100.18,Moderate Risk
North Beach,20.19,24.27,1.67,0.16,0.64,7.14,8.14,34041.4,66.12,Safe
North Beach,24.49,23.61,1.64,0.55,6.33,6.83,6.5,40171.59,104.12,Safe
Blue Bay,30.5,35.22,3.33,0.4,13.47,7.89,9.54,41229.53,70.8,Safe
Coral Point,25.29,29.64,2.93,0.67,7.57,7.89,7.52,38657.25,129.31,Safe
Coral Point,22.99,20.38,1.28,0.79,0.53,7.9,8.22,47848.89,58.64,Safe
Silver Shore,22.83,22.35,3.14,0.38,0.74,7.71,7.07,37317.48,180.14,Safe
North Beach,17.75,19.9,3.4,0.51,2.51,6.85,6.88,38389.9,7.17,Safe
North Beach,27.53,29.63,2.27,0.41,0.93,7.24,9.2,37385.53,113.78,Safe
Palm Coast,23.69,23.06,3.0,0.34,3.93,7.66,7.85,49098.36,67.75,Safe
Silver Shore,23.28,27.45,1.81,0.27,0.31,7.65,8.94,38799.11,1.0,Safe
Palm Coast,36.0,39.75,1.28,0.74,4.2,7.52,7.51,44990.3,55.64,Safe
Palm Coast,25.2,27.61,2.44,1.29,7.22,7.73,6.18,54842.08,114.49,Safe
Palm Coast,20.99,21.73,1.46,1.19,13.45,7.6,6.5,41513.68,151.52,Moderate Risk
Blue Bay,22.29,28.44,1.07,0.14,6.23,7.64,7.32,49228.39,128.65,Safe
Blue Bay,28.59,36.56,0.55,1.28,15.84,7.38,6.45,52863.8,166.59,Moderate Risk
Palm Coast,24.45,26.0,3.93,0.22,6.24,7.94,5.87,48676.75,61.68,Safe
Silver Shore,18.25,19.41,2.38,0.58,1.15,7.45,8.64,41890.79,110.23,Safe
North Beach,27.68,32.15,6.62,0.66,3.52,7.13,6.55,46173.7,132.12,Moderate Risk
Silver Shore,21.33,23.25,2.53,0.11,2.36,7.33,7.37,33632.04,44.81,Safe
Coral Point,31.49,34.07,3.91,0.44,5.46,7.48,7.56,36929.72,89.35,Safe
Blue Bay,28.32,33.54,2.03,1.33,0.17,7.95,6.49,38069.61,52.96,Safe
North Beach,22.21,19.48,3.26,0.05,14.7,7.59,8.94,56563.98,116.52,Safe
North Beach,29.12,36.08,0.56,2.37,9.13,7.53,5.86,36718.2,88.24,Safe
Coral Point,24.27,27.49,2.41,0.05,5.03,7.16,7.51,36621.4,38.74,Safe
Coral Point,27.41,29.18,1.68,0.65,31.78,7.87,7.5,35214.51,186.54,Moderate Risk
Palm Coast,25.94,28.67,6.19,0.11,20.83,7.37,7.13,45638.78,185.54,Moderate Risk
Blue Bay,20.61,23.5,3.74,0.73,8.39,7.56,5.64,42927.04,103.71,Safe
Blue Bay,21.43,19.23,5.63,1.15,5.23,8.12,8.24,49063.93,172.07,Moderate Risk
Silver Shore,28.12,35.6,7.1,0.94,3.9,7.78,8.09,46363.19,119.87,Moderate Risk
Palm Coast,22.66,25.78,2.26,1.05,3.6,7.03,6.39,33027.47,75.91,Safe
Palm Coast,22.39,26.71,3.63,0.41,2.27,6.98,8.05,36752.69,105.84,Safe
Palm Coast,20.18,26.03,1.34,1.33,2.29,7.58,7.65,50874.64,74.11,Safe
Palm Coast,25.69,25.63,4.33,2.02,4.75,7.18,5.66,40678.56,129.35,Moderate Risk
Blue Bay,32.25,36.67,4.76,0.55,12.64,7.83,6.18,49719.35,42.56,Safe
Blue Bay,19.73,21.93,4.13,0.37,4.7,7.61,8.57,41027.07,95.33,Safe
Palm Coast,24.1,29.64,2.26,0.25,0.86,7.66,7.57,35710.23,1.0,Safe
Silver Shore,29.65,26.27,9.94,0.89,3.7,7.35,6.52,40028.8,110.36,Moderate Risk
North Beach,23.68,26.38,3.39,1.09,1.6,8.21,6.17,35707.68,43.77,Safe
North Beach,25.81,27.0,1.35,0.37,17.83,8.59,6.58,38323.91,77.94,Safe
Silver Shore,19.75,24.05,5.06,1.53,0.2,7.5,6.67,43306.02,89.61,Moderate Risk
Palm Coast,25.71,30.12,6.31,0.84,5.17,7.72,6.18,45325.43,107.41,Moderate Risk
Blue Bay,23.25,24.13,1.37,0.55,1.4,7.63,5.11,31663.76,85.25,Safe
North Beach,27.94,28.81,2.77,0.66,3.9,7.51,8.57,41887.11,92.85,Safe
Coral Point,28.75,31.42,0.96,0.2,5.09,7.31,8.36,38187.0,1.0,Safe
Coral Point,34.36,34.67,7.27,0.88,10.76,7.22,5.67,37785.3,155.85,Moderate Risk
Silver Shore,26.32,31.84,3.12,0.21,3.23,7.2,7.36,42862.45,88.96,Safe
Palm Coast,25.3,27.2,1.68,0.33,4.94,7.74,6.12,38422.06,61.37,Safe
North Beach,24.78,19.06,6.36,0.48,14.79,7.42,6.89,50983.9,149.11,Moderate Risk
Palm Coast,22.59,24.46,3.33,1.8,14.76,6.7,6.79,49722.4,154.23,Moderate Risk
North Beach,25.35,25.24,5.8,0.62,26.07,7.76,6.69,49681.88,213.81,Moderate Risk
Silver Shore,22.82,20.92,4.51,0.23,1.75,7.59,9.6,38783.08,30.64,Safe
Silver Shore,24.67,23.96,1.5,0.66,26.39,8.07,6.67,35743.76,141.63,Moderate Risk
Coral Point,29.27,32.6,2.2,0.8,3.66,7.73,6.23,42533.19,134.46,Safe
Palm Coast,19.97,26.96,1.72,1.22,17.38,7.08,6.28,41022.74,181.07,Moderate Risk
Coral Point,28.56,32.5,1.27,0.5,10.38,6.82,8.45,38042.65,120.57,Safe
Palm Coast,29.27,30.45,0.74,0.27,3.04,7.35,5.22,34357.73,75.59,Safe
Coral Point,23.53,27.9,11.19,2.14,22.42,7.38,6.28,41730.13,308.31,Unsafe
Blue Bay,15.51,17.14,4.08,0.66,15.92,7.93,8.94,39373.55,204.91,Moderate Risk
Blue Bay,21.57,22.48,4.49,0.23,1.09,7.6,7.49,46474.26,78.85,Safe
Blue Bay,29.19,28.72,6.82,0.5,3.32,8.0,7.43,46323.19,82.78,Moderate Risk
Blue Bay,23.91,21.65,2.18,0.33,9.22,7.14,9.76,49155.2,82.47,Safe
North Beach,20.0,21.83,1.03,1.27,0.84,7.94,7.5,33814.58,178.32,Safe
Blue Bay,21.98,25.46,5.47,0.8,4.58,7.85,6.35,44606.88,59.21,Safe
Silver Shore,27.36,30.07,1.19,0.39,12.65,6.89,6.86,37271.47,79.29,Safe
Silver Shore,26.19,27.94,5.39,1.09,4.57,8.06,5.84,34067.31,69.15,Moderate Risk
North Beach,23.04,23.21,0.89,0.47,6.24,7.63,8.71,39214.09,76.96,Safe
Blue Bay,22.53,27.36,1.11,0.49,11.87,7.74,7.89,48946.58,52.1,Safe
Blue Bay,22.43,21.48,2.02,0.26,7.6,7.3,8.55,39579.93,79.89,Safe
Blue Bay,20.31,25.64,5.26,0.26,4.54,8.05,8.66,52175.46,34.14,Safe
Coral Point,30.46,30.45,9.12,2.04,17.17,7.18,6.7,45567.71,233.77,Unsafe
Palm Coast,22.71,23.45,4.49,1.05,5.66,7.89,6.07,39438.41,156.34,Moderate Risk
Coral Point,28.87,27.47,2.08,0.06,5.09,7.89,7.14,49540.31,58.77,Safe
Palm Coast,30.09,31.58,6.13,0.21,16.92,7.26,6.15,44895.08,146.72,Moderate Risk
Blue Bay,27.99,33.92,0.86,0.17,7.87,8.29,7.4,35938.36,66.75,Safe
Blue Bay,22.27,26.82,1.57,0.54,1.47,7.68,8.56,54082.22,70.17,Safe
Coral Point,25.61,31.55,3.56,0.36,1.72,7.83,7.0,43686.61,77.97,Safe
Coral Point,23.9,28.47,5.59,1.45,2.35,7.07,7.38,42122.18,146.29,Moderate Risk
Palm Coast,20.39,20.07,2.87,0.39,12.34,8.34,7.09,36439.04,152.93,Safe
Silver Shore,25.3,27.31,2.65,1.9,11.26,7.17,8.16,49667.0,102.8,Moderate Risk
Palm Coast,19.28,19.94,2.77,0.48,6.13,7.96,6.4,45362.29,78.53,Safe
Coral Point,28.75,35.74,6.79,2.18,1.75,7.25,4.56,46090.05,172.88,Moderate Risk
Coral Point,22.14,21.55,1.82,0.43,3.56,7.38,7.77,38701.05,21.49,Safe
North Beach,24.8,30.49,1.48,0.44,15.58,7.88,8.39,47421.65,40.25,Safe
Coral Point,25.13,30.81,2.73,1.03,4.42,7.96,7.74,47926.79,101.15,Safe
North Beach,22.96,31.45,7.4,0.93,4.24,7.16,6.43,37652.94,150.04,Moderate Risk
Silver Shore,26.35,28.12,1.99,0.14,2.57,7.98,5.84,32789.56,38.83,Safe
Palm Coast,22.1,27.24,2.76,0.55,12.67,7.97,7.79,45778.92,92.54,Safe
Palm Coast,27.49,37.33,0.85,0.35,2.15,7.27,7.37,31773.24,29.7,Safe
North Beach,18.62,19.76,2.85,0.33,9.99,8.16,7.05,42988.1,70.22,Safe
Palm Coast,24.51,22.9,3.94,0.55,3.08,7.09,9.39,39092.91,115.06,Safe
Coral Point,31.76,29.12,1.19,0.4,8.43,7.38,6.06,49921.32,40.27,Safe
Blue Bay,20.0,25.14,6.79,0.59,6.7,7.77,9.33,39446.51,120.33,Moderate Risk
North Beach,21.29,18.64,3.9,0.2,4.85,7.3,7.24,49197.27,58.48,Safe
Palm Coast,26.06,27.94,2.24,0.1,3.69,7.69,5.0,38657.64,18.64,Safe
North Beach,24.72,29.03,3.92,1.06,7.35,7.68,6.98,48499.94,144.86,Moderate Risk
North Beach,25.4,28.96,4.67,1.18,6.63,7.53,8.35,55392.22,102.66,Moderate Risk
Blue Bay,25.96,30.23,0.63,1.01,2.72,7.89,6.76,35057.69,74.8,Safe
Coral Point,26.54,30.21,4.03,0.53,13.87,7.52,5.43,43898.23,75.14,Safe
North Beach,28.44,35.28,7.23,0.37,11.47,7.68,7.0,59867.09,119.87,Moderate Risk
Palm Coast,25.64,25.78,1.8,0.29,1.8,8.0,6.17,42432.83,89.02,Safe
Silver Shore,23.03,24.0,2.28,0.24,2.07,7.88,7.79,42401.62,157.51,Safe
North Beach,26.69,27.37,2.58,0.48,0.38,7.88,8.13,47125.24,1.0,Safe
North Beach,31.6,37.09,5.63,1.16,10.54,7.2,5.93,42267.03,135.42,Moderate Risk
Blue Bay,23.47,29.17,1.38,0.27,3.86,7.78,6.35,30903.03,79.84,Safe
Coral Point,20.1,24.46,4.53,1.16,5.22,7.29,8.11,49359.87,92.83,Safe
Silver Shore,28.43,34.98,2.61,0.11,1.98,7.15,6.17,28980.84,96.97,Safe
Palm Coast,23.52,22.98,9.39,0.62,5.23,7.57,5.9,39290.85,118.11,Moderate Risk
Silver Shore,15.31,23.31,2.73,0.72,6.98,7.28,5.79,49848.27,101.7,Safe
Palm Coast,27.39,34.96,0.33,0.32,1.01,7.88,7.62,39682.47,28.97,Safe
Coral Point,21.86,27.07,5.11,0.18,6.84,7.89,7.57,37490.97,150.22,Moderate Risk
Palm Coast,23.64,31.98,4.37,0.96,6.52,6.93,6.38,47715.22,90.14,Safe
Blue Bay,25.33,23.36,3.79,0.53,16.29,7.31,7.21,36467.75,121.73,Moderate Risk
Blue Bay,24.76,26.19,7.11,2.64,7.23,7.09,9.03,34055.53,204.11,Unsafe
Blue Bay,26.84,27.63,0.73,1.17,1.72,7.44,6.03,43784.34,32.6,Safe
Blue Bay,22.26,27.42,1.59,1.18,1.92,7.76,4.86,40811.0,79.48,Safe
Silver Shore,26.05,25.9,3.25,0.05,6.44,7.52,7.75,33916.12,23.24,Safe
Coral Point,22.96,28.23,3.65,0.28,3.74,7.39,7.07,46140.19,47.44,Safe
Palm Coast,26.96,34.07,2.91,0.16,9.88,8.06,6.35,45019.17,111.11,Safe
Palm Coast,26.46,31.55,0.86,0.05,0.95,6.79,7.98,39661.59,12.18,Safe
Blue Bay,20.26,24.11,2.3,0.5,10.93,8.03,8.21,40106.34,82.72,Safe
Blue Bay,28.34,28.38,8.98,0.94,6.24,7.41,4.55,45057.55,171.28,Moderate Risk
North Beach,21.86,22.32,1.32,0.2,16.62,7.57,6.42,49737.35,86.77,Safe
Coral Point,27.23,33.98,3.2,0.05,4.71,7.42,9.98,40161.84,109.51,Safe
Silver Shore,25.47,30.81,4.54,0.22,1.82,8.14,7.9,46255.48,93.55,Safe
Palm Coast,31.35,34.24,5.53,0.45,1.6,7.17,8.01,45673.8,113.5,Safe
North Beach,23.11,24.85,5.09,0.42,7.23,7.6,8.61,47715.5,156.41,Moderate Risk
North Beach,22.6,19.53,2.17,0.52,1.21,7.78,7.22,42255.51,79.13,Safe
Palm Coast,23.92,23.71,1.58,0.71,26.21,7.04,8.16,36069.88,205.04,Moderate Risk
Silver Shore,22.79,31.52,9.44,0.51,4.52,7.28,8.06,38993.76,176.35,Moderate Risk
North Beach,27.2,26.36,5.89,0.98,18.04,7.55,7.85,44228.55,148.7,Moderate Risk
North Beach,17.53,21.1,3.42,0.21,0.59,7.29,6.81,53820.02,116.75,Safe
Coral Point,19.79,25.81,7.9,0.41,0.07,7.31,7.41,38853.87,122.85,Moderate Risk
Silver Shore,19.73,18.96,1.03,0.8,2.37,7.48,6.49,47231.12,53.02,Safe
North Beach,27.8,31.36,0.35,0.64,7.65,7.83,7.22,39867.63,85.42,Safe
Silver Shore,30.84,36.66,3.62,1.75,5.9,7.48,5.8,42718.05,158.03,Moderate Risk
Palm Coast,23.58,26.62,3.74,0.22,2.81,7.98,6.25,51850.08,98.04,Safe
Blue Bay,23.32,34.93,0.95,0.81,7.55,7.25,6.86,46967.9,147.64,Safe
North Beach,24.28,22.27,5.75,0.29,4.11,7.16,6.07,33931.55,143.96,Moderate Risk
Coral Point,28.65,34.82,0.52,0.26,1.26,8.27,6.59,38278.91,67.01,Safe
Palm Coast,20.29,22.77,4.19,1.12,20.21,7.37,7.0,50165.44,125.71,Moderate Risk
Silver Shore,24.95,30.27,4.85,0.5,0.05,7.14,7.68,42922.21,81.61,Safe
Palm Coast,27.9,32.22,3.59,0.63,6.72,6.99,8.34,34532.54,104.06,Safe
North Beach,26.0,26.8,0.83,0.31,5.56,7.98,6.64,36676.81,91.3,Safe
Silver Shore,24.76,28.45,7.06,0.33,5.7,7.48,8.8,46572.71,146.09,Moderate Risk
Blue Bay,28.0,25.43,2.22,0.1,12.91,7.51,8.33,48463.67,106.68,Safe
Palm Coast,13.19,18.0,2.23,0.59,1.54,7.54,7.8,42116.06,75.22,Safe
North Beach,26.71,30.61,1.9,0.19,1.44,7.95,7.38,58089.54,85.58,Safe
Coral Point,21.38,26.3,5.21,0.46,12.94,7.54,7.58,47356.99,104.02,Moderate Risk
Silver Shore,16.68,22.85,2.14,0.98,9.11,8.42,8.62,40417.37,162.29,Safe
Palm Coast,26.04,30.15,1.21,0.07,17.25,7.65,8.67,36697.91,34.17,Safe
Palm Coast,29.49,32.94,6.19,3.11,4.32,7.97,8.8,35663.25,212.4,Unsafe
Blue Bay,23.45,23.81,3.14,0.26,4.18,7.88,7.25,44180.24,80.51,Safe
Blue Bay,27.81,28.67,6.33,0.47,11.84,7.59,7.87,38822.95,175.72,Moderate Risk
Coral Point,30.45,37.01,3.31,0.63,15.36,7.39,8.81,52879.33,141.14,Moderate Risk
Coral Point,29.26,36.57,1.8,0.25,1.28,7.72,6.45,51531.03,72.11,Safe
North Beach,30.56,32.85,0.61,0.34,25.13,7.78,6.82,46114.93,151.44,Safe
North Beach,26.97,30.11,3.63,1.15,3.3,7.4,7.22,34336.52,127.91,Safe
Coral Point,24.3,24.59,2.58,0.91,6.66,7.66,8.28,37630.58,85.67,Safe
Coral Point,17.59,24.11,5.35,0.41,8.98,8.03,8.3,50161.9,157.36,Moderate Risk
Silver Shore,23.02,28.01,2.07,0.51,13.21,8.32,6.92,38340.07,69.77,Safe
Blue Bay,20.63,29.45,4.27,0.57,10.27,7.9,5.39,49293.92,118.53,Moderate Risk
North Beach,32.68,33.05,3.21,0.79,5.82,8.25,7.5,45084.93,127.16,Safe
Blue Bay,23.3,25.16,1.67,0.83,10.18,7.38,6.1,42336.17,134.44,Safe
Blue Bay,24.49,28.19,2.2,0.81,3.7,7.85,5.41,37431.59,98.15,Safe
Coral Point,26.21,31.15,1.01,0.36,2.98,8.07,5.68,41387.42,46.95,Safe
Silver Shore,24.17,26.53,9.85,0.56,5.64,7.29,7.59,43232.71,184.33,Moderate Risk
Palm Coast,30.78,31.16,4.21,1.06,14.72,7.43,8.83,48711.5,118.65,Moderate Risk
